candidate_id,rank,score,reasoning
CAND_0061265,23,0.571445,"7-year Recommendation Systems Engineer at Zoho with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: 120-day notice period."
CAND_0096142,24,0.570912,"5-year Applied ML Engineer at upGrad with hands-on with embedding, pinecone, rag; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0028793,25,0.570185,"7-year Search Engineer at Google with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (BITS Pilani). Concerns: 120-day notice period."
CAND_0018549,26,0.569367,"7-year Recommendation Systems Engineer at Uber with hands-on with embedding, qdrant, ranking; tier-1 institution (Stanford University); verified Elasticsearch score 90/100."
CAND_0014440,27,0.568693,"6-year Recommendation Systems Engineer at CRED with hands-on with embedding, faiss, qdrant; production ML deployment experience; tier-1 institution (Massachusetts Institute of Technology)."
CAND_0094759,28,0.567522,"9-year Lead AI Engineer at Meta with hands-on with embedding, vector, faiss; verified Prompt Engineering score 81/100. Concerns: last active 154 days ago; not marked open to work."
CAND_0045250,29,0.565511,"7-year Applied ML Engineer at Rephrase.ai with hands-on with embedding, vector, qdrant; production ML deployment experience; verified Sentence Transformers score 83/100. Concerns: not marked open to work."
CAND_0092278,30,0.564516,"7-year Senior NLP Engineer at Microsoft with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIT Delhi). Concerns: last active 216 days ago; 90-day notice period."
CAND_0061257,31,0.563664,"8-year Staff Machine Learning Engineer at LinkedIn with hands-on with vector, ranking, retrieval; strong Python (expert); production ML deployment experience."
CAND_0010257,32,0.563562,"6-year Senior Data Scientist at Google with hands-on with embedding, vector, qdrant; strong Python (expert); production ML deployment experience. Concerns: 120-day notice period."
CAND_0039383,33,0.560624,"7-year Applied ML Engineer at Meesho with hands-on with vector, faiss, ranking; production ML deployment experience; tier-1 institution (IISc Bangalore). Concerns: 90-day notice period."
CAND_0050454,34,0.560240,"7-year AI Engineer at Rephrase.ai with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Kanpur)."
CAND_0095528,35,0.559603,"5-year Senior Data Scientist at Netflix with hands-on with embedding, vector, qdrant; strong Python (advanced); production ML deployment experience."
CAND_0052682,36,0.558586,"7-year NLP Engineer at Aganitha with hands-on with embedding, faiss, pinecone; strong Python (expert); tier-1 institution (NIT Warangal)."
CAND_0027801,37,0.556948,"7-year NLP Engineer at InMobi with hands-on with vector, faiss, rag; production ML deployment experience; verified FAISS score 82/100. Concerns: 120-day notice period."
CAND_0006557,38,0.556030,"8-year NLP Engineer at Paytm with hands-on with embedding, vector, faiss; verified Elasticsearch score 76/100. Concerns: 120-day notice period."
CAND_0007411,39,0.554983,"8-year Senior Machine Learning Engineer at Amazon with hands-on with embedding, vector, pinecone; production ML deployment experience; tier-1 institution (IIT Roorkee). Concerns: last active 191 days ago; not marked open to work."
CAND_0069905,40,0.554698,"7-year Applied ML Engineer at Sarvam AI with hands-on with embedding, faiss, pinecone; strong Python (expert); verified LoRA score 71/100. Concerns: 90-day notice period."
CAND_0091909,41,0.553890,"7-year Machine Learning Engineer at Rephrase.ai with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (IIIT Bangalore)."
CAND_0098846,42,0.551312,"8-year AI Engineer at upGrad with hands-on with embedding, qdrant, pinecone; production ML deployment experience; tier-1 institution (IIT Kanpur)."
CAND_0076163,43,0.550369,"7-year NLP Engineer at Ola with hands-on with rag, ranking, elasticsearch; strong Python (advanced); verified BM25 score 92/100."
CAND_0030953,44,0.548535,"8-year Search Engineer at Nykaa with hands-on with embedding, vector, faiss; strong Python (advanced); production ML deployment experience. Concerns: not marked open to work."
CAND_0093193,45,0.547559,"8-year Senior Machine Learning Engineer at Niramai with hands-on with vector, qdrant, ranking; verified Learning to Rank score 87/100."
CAND_0043228,46,0.547060,"7-year Applied ML Engineer at Zoho with hands-on with vector, faiss, ranking; production ML deployment experience; tier-1 institution (IIT Madras). Concerns: not marked open to work."
CAND_0006567,47,0.545622,"8-year Senior AI Engineer at Meta with hands-on with vector, ranking, retrieval; strong Python (expert); production ML deployment experience."
CAND_0083879,48,0.542417,"7-year Machine Learning Engineer at Ola with hands-on with faiss, ranking, retrieval; production ML deployment experience; tier-1 institution (NIT Surathkal)."
CAND_0011432,49,0.541620,"8-year Senior Data Scientist at Amazon with hands-on with embedding, vector, pinecone; production ML deployment experience; verified Haystack score 82/100."
CAND_0037980,50,0.541088,"9-year Senior Applied Scientist at Niramai with hands-on with vector, ranking, retrieval; production ML deployment experience; tier-1 institution (BITS Pilani)."
CAND_0076251,51,0.541056,"8-year Search Engineer at Haptik with hands-on with embedding, faiss, ranking; production ML deployment experience; verified Weaviate score 76/100."
CAND_0081852,52,0.539313,"6-year Senior Data Scientist at Mad Street Den with hands-on with embedding, vector, pinecone; production ML deployment experience."
CAND_0070202,53,0.538758,"5-year Machine Learning Engineer at BYJU'S with hands-on with embedding, qdrant, rag; tier-1 institution (NIT Warangal); verified Object Detection score 89/100. Concerns: 90-day notice period; not marked open to work."
CAND_0075249,54,0.537144,"6-year Applied ML Engineer at Zomato with hands-on with embedding, faiss, pinecone; tier-1 institution (IIT Hyderabad); verified Sentence Transformers score 81/100."
CAND_0047721,55,0.535267,"7-year Senior Data Scientist at Microsoft with hands-on with embedding, faiss, qdrant; tier-1 institution (IIT Kharagpur); verified Information Retrieval score 88/100. Concerns: 90-day notice period; not marked open to work."
CAND_0016163,56,0.531777,"7-year Applied ML Engineer at Dream11 with hands-on with embedding, vector, faiss; production ML deployment experience; verified Time Series score 89/100. Concerns: 120-day notice period."
CAND_0065878,57,0.530233,"8-year Senior Data Scientist at Niramai with hands-on with embedding, vector, rag; verified scikit-learn score 71/100."
CAND_0037566,58,0.527886,"7-year Machine Learning Engineer at LinkedIn with hands-on with embedding, pinecone, rag; verified Pinecone score 82/100."
CAND_0099401,59,0.523957,"8-year NLP Engineer at Dream11 with hands-on with embedding, qdrant, ranking; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period; not marked open to work."
CAND_0007412,60,0.523202,"7-year Applied ML Engineer at Zoho with hands-on with embedding, pinecone, rag; production ML deployment experience; tier-1 institution (IIT Hyderabad). Concerns: 120-day notice period."
CAND_0010685,61,0.521786,"7-year NLP Engineer at Rephrase.ai with hands-on with faiss, rag, ranking; production ML deployment experience."
CAND_0086151,62,0.515942,"8-year Recommendation Systems Engineer at Wysa with hands-on with embedding, faiss, qdrant; verified Recommendation Systems score 84/100. Concerns: 120-day notice period."
CAND_0060054,63,0.514738,"6-year AI Engineer at Mad Street Den with hands-on with embedding, faiss, ranking; production ML deployment experience; verified TensorFlow score 90/100. Concerns: not marked open to work."
CAND_0026532,64,0.510706,"5-year Recommendation Systems Engineer at Zomato with hands-on with embedding, vector, faiss; tier-1 institution (Georgia Tech); verified TTS score 91/100. Concerns: 90-day notice period."
CAND_0087630,65,0.510653,"7-year AI Engineer at Vedantu with hands-on with embedding, vector, rag; verified pgvector score 78/100. Concerns: not marked open to work."
CAND_0015528,66,0.510013,"7-year Applied ML Engineer at Krutrim with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIIT Bangalore). Concerns: not marked open to work."
CAND_0031593,67,0.504184,"8-year Search Engineer at Genpact AI with hands-on with embedding, pinecone, rag. Concerns: 90-day notice period."
CAND_0070514,68,0.502757,"6-year AI Specialist at Glance with hands-on with faiss, pinecone, opensearch; production ML deployment experience; tier-1 institution (BITS Pilani)."
CAND_0010149,69,0.500727,"7-year ML Engineer at Glance with hands-on with vector, ranking, elasticsearch; production ML deployment experience; tier-1 institution (IIIT Hyderabad). Concerns: 90-day notice period."
CAND_0008295,70,0.500317,"6-year AI Research Engineer at Razorpay with hands-on with ranking, retrieval, weaviate; strong Python (advanced); production ML deployment experience."
CAND_0030784,71,0.499357,"4-year Data Scientist at Yellow.ai with hands-on with embedding, pinecone, rag; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period."
CAND_0067866,72,0.499092,"6-year Senior Software Engineer (ML) at Tech Mahindra with hands-on with embedding, vector, qdrant; production ML deployment experience; tier-1 institution (IIT Delhi)."
CAND_0068932,73,0.498280,"5-year ML Engineer at Krutrim with hands-on with rag, ranking, retrieval; production ML deployment experience."
CAND_0049896,74,0.496449,"7-year Search Engineer at Unacademy with hands-on with embedding, vector, pinecone. Concerns: 90-day notice period."
CAND_0048558,75,0.495264,"7-year Data Scientist at Rephrase.ai with hands-on with qdrant, ranking, retrieval; production ML deployment experience."
CAND_0004402,76,0.494474,"6-year AI Research Engineer at Yellow.ai with hands-on with qdrant, ranking, retrieval; production ML deployment experience; tier-1 institution (IIT Guwahati)."
CAND_0070485,77,0.492845,"6-year Search Engineer at Saarthi.ai with hands-on with faiss, ranking, retrieval; tier-1 institution (IIT Madras); verified Deep Learning score 66/100. Concerns: 120-day notice period."
CAND_0054100,78,0.492643,"6-year Junior ML Engineer at Zoho with hands-on with vector, pinecone, ranking; verified Vector Search score 82/100."
CAND_0073007,79,0.492394,"6-year AI Specialist at Aganitha with hands-on with embedding, vector, faiss; production ML deployment experience; tier-1 institution (IIIT Hyderabad)."
CAND_0008978,80,0.490891,"7-year Junior ML Engineer at Tech Mahindra with hands-on with embedding, faiss, ranking; production ML deployment experience; verified Embeddings score 85/100. Concerns: 90-day notice period; not marked open to work."
CAND_0071939,81,0.490730,"6-year Data Scientist at Krutrim with hands-on with embedding, qdrant, elasticsearch."
CAND_0089947,82,0.489943,"5-year Junior ML Engineer at Saarthi.ai with hands-on with embedding, vector, retrieval; production ML deployment experience; verified Elasticsearch score 86/100. Concerns: 90-day notice period; not marked open to work."
CAND_0073982,83,0.489550,"7-year Data Scientist at Dream11 with hands-on with faiss, qdrant, rag; production ML deployment experience."
CAND_0083852,84,0.489424,"6-year Data Scientist at Mad Street Den with hands-on with vector, qdrant, pinecone; production ML deployment experience; verified Kubeflow score 69/100. Concerns: 90-day notice period."
CAND_0070525,85,0.488669,"5-year Senior Software Engineer (ML) at Mad Street Den with hands-on with embedding, ranking, retrieval; strong Python (advanced); production ML deployment experience."
CAND_0032216,86,0.488467,"6-year ML Engineer at upGrad with hands-on with vector, qdrant, retrieval; production ML deployment experience; tier-1 institution (IISc Bangalore)."
CAND_0092255,87,0.487247,"5-year ML Engineer at InMobi with hands-on with vector, rag, ranking; production ML deployment experience; tier-1 institution (BITS Pilani)."
CAND_0028287,88,0.486672,"6-year Data Scientist at Unacademy with hands-on with vector, pinecone, rag; strong Python (advanced); production ML deployment experience. Concerns: 90-day notice period."
CAND_0017090,89,0.486458,"6-year Senior Software Engineer (ML) at Paytm with hands-on with weaviate, opensearch; strong Python (advanced); production ML deployment experience."
CAND_0095213,90,0.486214,"5-year ML Engineer at Genpact AI with hands-on with pinecone, retrieval, weaviate; strong Python (advanced); production ML deployment experience. Concerns: not marked open to work."
CAND_0090155,91,0.486122,"6-year ML Engineer at Swiggy with hands-on with qdrant, pinecone, ranking; production ML deployment experience; verified CNN score 81/100. Concerns: 90-day notice period."
CAND_0043860,92,0.485277,"6-year Junior ML Engineer at Aganitha with hands-on with vector, qdrant, ranking; production ML deployment experience; verified Information Retrieval score 84/100."
CAND_0046353,93,0.485081,"6-year ML Engineer at Razorpay with hands-on with vector, faiss, qdrant; production ML deployment experience; tier-1 institution (UC Berkeley). Concerns: 120-day notice period."
CAND_0005509,94,0.484993,"6-year Data Scientist at Ola with hands-on with qdrant, ranking; production ML deployment experience."
CAND_0033179,95,0.484993,"7-year AI Research Engineer at Wipro with hands-on with ranking, retrieval, opensearch; production ML deployment experience; verified Speech Recognition score 82/100."
CAND_0091890,96,0.484332,"5-year AI Research Engineer at Verloop.io with hands-on with pinecone, ranking, retrieval; production ML deployment experience; verified scikit-learn score 76/100."
CAND_0020991,97,0.484200,"5-year Junior ML Engineer at PhonePe with hands-on with ranking, retrieval, weaviate; strong Python (advanced); production ML deployment experience. Concerns: 120-day notice period."
CAND_0098454,98,0.483416,"7-year AI Specialist at Meesho with hands-on with embedding, vector, pinecone; production ML deployment experience; verified OpenSearch score 80/100."
CAND_0064256,99,0.483140,"6-year Junior ML Engineer at BYJU'S with hands-on with embedding, ranking, retrieval; strong Python (advanced); production ML deployment experience."
CAND_0053605,100,0.483025,"7-year Senior Software Engineer (ML) at Verloop.io with hands-on with vector, rag, ranking; production ML deployment experience; verified pgvector score 80/100."
